id,name,type,status,manufacturer,manufacturer_abbr,user,user_abbr,image_proof_link,image_proof_link_direct,year_first_produced,confirmed_lost_date
4338,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/CLrNKWqv,https://i.postimg.cc/CLrNKWqv/2022-07-09-mt-lb.jpg,1970.0,
4339,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/G2J6DgQ4,https://i.postimg.cc/G2J6DgQ4/2022-08-08-mt-lb.jpg,1970.0,2022-08-08
4340,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1582008510334009345,https://twitter.com/UAWeapons/status/1582008510334009345,1970.0,
4341,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/YjgZZkgk,https://i.postimg.cc/pV1v9LL9/1015-mtlb-destr.jpg,1970.0,
4342,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/v8xs7f84,https://i.postimg.cc/v8xs7f84/1014-imr2-mtlb-destr.jpg,1970.0,
4343,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/dDPqmqS0,https://i.postimg.cc/dDPqmqS0/1011-mtlb-destr.jpg,1970.0,
4344,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/7hTH2C9c,https://i.postimg.cc/7hTH2C9c/1012-mtlb-destr.jpg,1970.0,
4345,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/XvmSs4PB,https://i.postimg.cc/XvmSs4PB/1011-mtlb-REM-KL-destr.jpg,1970.0,
4346,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/NjGcMNTF,https://i.postimg.cc/NjGcMNTF/1005-mtlb-destr.jpg,1970.0,
4347,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/66dJhsfT,https://i.postimg.cc/66dJhsfT/1003-mtlb-destr.png,1970.0,
4348,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/zfVYwVx1,https://i.postimg.cc/zfVYwVx1/1002-mtlb-destr.jpg,1970.0,
4349,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/x1H1nZ8B,https://i.postimg.cc/x1H1nZ8B/09-15-2022-MT-l-B-destroyed.png,1970.0,2022-09-15
4350,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/qMZ1hFdM,https://i.postimg.cc/qMZ1hFdM/1005-mtlb-destr-25-10.jpg,1970.0,
4351,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1590474674999558145,https://twitter.com/UAWeapons/status/1590474674999558145,1970.0,
4352,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/fy0Tpsxg,https://i.postimg.cc/fy0Tpsxg/1016-mtlb-destr-14-03-23.jpg,1970.0,2023-03-14
4353,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/mZ3TDLpT,https://i.postimg.cc/mZ3TDLpT/1014-MT-LB-destr-10-08-23.jpg,1970.0,2023-08-10
4354,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/KjyqwqSL,https://i.postimg.cc/KjyqwqSL/1005-mtlb-destr.jpg,1970.0,
4355,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/RhNFDv9N,https://i.postimg.cc/RhNFDv9N/2022-11-12-MT-LB.jpg,1970.0,
4356,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/tTDZcrxm,https://i.postimg.cc/tTDZcrxm/2022-11-12-MT-LB-2.jpg,1970.0,2022-11-12
4357,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/ZnTzY6K2,https://i.postimg.cc/ZnTzY6K2/1010-mtlb-destr.jpg,1970.0,
4358,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/3NTNtCKK,https://i.postimg.cc/3NTNtCKK/1004-mtlb-destr.jpg,1970.0,
4359,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/DzcctpHh,https://i.postimg.cc/DzcctpHh/1017-MT-LB-destr.jpg,1970.0,
4360,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/QtfBLYBf,https://i.postimg.cc/QtfBLYBf/1004-REM-KL-and-MT-LB-destr.jpg,1970.0,
4361,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/tgHnFxQN,https://i.postimg.cc/tgHnFxQN/1018-mtlb-destr.jpg,1970.0,
4362,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/prRwhBR0,https://i.postimg.cc/prRwhBR0/2022-04-01-MT-LB-destroyed-Peremoha.jpg,1970.0,
4363,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/pLxWJs6f,https://i.postimg.cc/pLxWJs6f/1000-mtlb-destr.jpg,1970.0,
4364,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/kGscmdcZ,https://i.postimg.cc/kGscmdcZ/1001-mtlb-destr-21-09-22.jpg,1970.0,2022-09-21
4365,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/gk4Sfqsn,https://i.postimg.cc/gk4Sfqsn/1030-mtlb-destr-03-01-23.jpg,1970.0,2023-01-03
4366,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/6p3gdKV0,https://i.postimg.cc/6p3gdKV0/1027-mtlb-destr-08-01-23.jpg,1970.0,2023-01-08
4367,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/65cCpqhc,https://i.postimg.cc/65cCpqhc/1008-mtlb-destr-10-12-22.jpg,1970.0,2022-12-10
4368,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/WzG0ZJ91,https://i.postimg.cc/WzG0ZJ91/1005-mtlb-destr-17-01-23.jpg,1970.0,2023-01-17
4369,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/nz6tRvdN,https://i.postimg.cc/nz6tRvdN/1024-mtlb-destr-20-01-23.jpg,1970.0,2023-01-20
4370,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/x8MVWch8,https://i.postimg.cc/x8MVWch8/1032-mtlb-destr-18-01-23.jpg,1970.0,2023-01-18
4371,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/T121NnkK,https://i.postimg.cc/T121NnkK/mcap3.jpg,1970.0,2022-03-28
4372,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/63TX4Tgs,https://i.postimg.cc/63TX4Tgs/mtlbbb.png,1970.0,
4373,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/L89V84bc,https://i.postimg.cc/L89V84bc/1006-MT-LB-destr-25-01-23.jpg,1970.0,2023-01-25
4374,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/VLBRw0D9,https://i.postimg.cc/VLBRw0D9/1018-mtlb-destr-25-01-23.jpg,1970.0,2023-01-25
4375,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/bdccynQV,https://i.postimg.cc/bdccynQV/1000-mtlb-destr-28-01-23.jpg,1970.0,2023-01-28
4376,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/fy0QQC00,https://i.postimg.cc/fy0QQC00/1035-mtlb-destr-29-01-23.jpg,1970.0,2023-01-29
4377,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/dV9jLLMq,https://i.postimg.cc/dV9jLLMq/1009-unkn-bmp12-destr-09-02-23.jpg,1970.0,2023-02-09
4378,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/gjf09CLZ,https://i.postimg.cc/gjf09CLZ/1003-mtlb-destr-11-02-23.jpg,1970.0,2023-02-11
4379,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1628727710729048064,https://twitter.com/UAWeapons/status/1628727710729048064,1970.0,
4380,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1628840738749403139,https://twitter.com/UAWeapons/status/1628840738749403139,1970.0,
4381,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/HKaaman/status/1628435340758339584,https://twitter.com/HKaaman/status/1628435340758339584,1970.0,
4382,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/nzCNH0Pt,https://i.postimg.cc/nzCNH0Pt/1003-mtlb-destr-23-02-23.jpg,1970.0,2023-02-23
4383,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/jj8G0GvX,https://i.postimg.cc/jj8G0GvX/1014-mtlb-destr-18-02-23.jpg,1970.0,2023-02-18
4384,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/nLV6WHKr,https://i.postimg.cc/nLV6WHKr/1015-mtlb-destr-19-02-23.jpg,1970.0,2023-02-19
4385,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://postimg.cc/Sx0spG9r,https://i.postimg.cc/Sx0spG9r/1026-mtlb-destr-02-03-23.jpg,1970.0,2023-03-02
4386,MT-LB,Armored Fighting Vehicles,destroyed,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1634593353303052288,https://twitter.com/UAWeapons/status/1634593353303052288,1970.0,
