id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,directproof,fulldate
92,T-62M,Tanks,destroyed,22,11,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/YCXN8dc9,1983,https://i.postimg.cc/YCXN8dc9/1016-T-62-M-destr-22-11-24.jpg,22/11/2024
93,T-62M,Tanks,destroyed,27,11,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/RqryZrZR,1983,https://i.postimg.cc/RqryZrZR/1025-T-62-M-destr-27-11-24.jpg,27/11/2024
94,T-62M,Tanks,destroyed,30,11,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/gkC5d82X,1983,https://i.postimg.cc/gkC5d82X/1007-T-62-M-destr-30-11-24.jpg,30/11/2024
95,T-62M,Tanks,destroyed,31,8,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/R0Q7Npgr,1983,https://i.postimg.cc/R0Q7Npgr/1007-T-62-M-destr-31-08-24.jpg,31/8/2024
96,T-62M,Tanks,destroyed,26,12,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/TY6gdKDr,1983,https://i.postimg.cc/TY6gdKDr/1104-T-62-M-destr-26-12-24.jpg,26/12/2024
97,T-62M,Tanks,destroyed,31,12,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/ncb9fxcj,1983,https://i.postimg.cc/ncb9fxcj/1015-T-62-M-destr-31-12-24.jpg,31/12/2024
98,T-62M,Tanks,destroyed,31,12,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/RZZ7qvQV,1983,https://i.postimg.cc/RZZ7qvQV/1038-T-62-M-destr-31-12-24.jpg,31/12/2024
99,T-62M,Tanks,destroyed,22,1,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/ZKcPTWNM,1983,https://i.postimg.cc/ZKcPTWNM/1045-T-62-M-destr-22-01-25.jpg,22/1/2025
100,T-62M,Tanks,destroyed,25,9,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/XvKXRrq9,1983,https://i.postimg.cc/XvKXRrq9/1103-T-62-M-destr-25-09-24.jpg,25/9/2024
101,T-62M,Tanks,destroyed,7,2,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/k472XVQ6,1983,https://i.postimg.cc/k472XVQ6/1022-T-62-M-destr-07-02-25.jpg,7/2/2025
